"id","skill"
1,"ANALYSIS"
1,"STATISTICS"
1,"VISUALIZATION"
1,"AI"
1,"SOFTWARE DEVELOPMENT"
1,"DATA ENGINEERING"
1,"DATA ANALYTICS"
1,"METRICS"
1,"SYSTEMS ENGINEER"
2,"ANALYSIS"
2,"MACHINE LEARNING"
2,"STATISTICS"
2,"MATHEMATICS"
2,"AI"
2,"NLP"
2,"PREDICTIVE MODELING"
2,"ALGORITHMS"
2,"UNSTRUCTURED DATA"
3,"MACHINE LEARNING"
3,"STATISTICS"
3,"MATHEMATICS"
3,"AI"
3,"NLP"
4,"ANALYSIS"
4,"STATISTICS"
4,"VISUALIZATION"
4,"AI"
4,"SOFTWARE DEVELOPMENT"
4,"DATA ENGINEERING"
4,"DATA ANALYTICS"
4,"METRICS"
4,"SYSTEMS ENGINEER"
5,"MACHINE LEARNING"
5,"AI"
5,"DATA WRANGLING"
5,"METRICS"
6,"SOFTWARE ENGINEER"
7,"DATA WRANGLING"
7,"METRICS"
8,"ANALYSIS"
8,"COMPUTER SCIENCE"
8,"AI"
8,"ARTIFICIAL INTELLIGENCE"
9,"AI"
9,"ARTIFICIAL INTELLIGENCE"
9,"PROJECT MANAGEMENT"
10,"MACHINE LEARNING"
10,"COMPUTER SCIENCE"
10,"AI"
10,"ARTIFICIAL INTELLIGENCE"
10,"SOFTWARE DEVELOPMENT"
11,"ANALYSIS"
11,"MACHINE LEARNING"
11,"COMPUTER SCIENCE"
11,"AI"
11,"SOFTWARE DEVELOPMENT"
11,"SOFTWARE ENGINEER"
13,"MACHINE LEARNING"
13,"AI"
13,"DEEP LEARNING"
13,"PREDICTIVE MODELS"
14,"MACHINE LEARNING"
14,"STATISTICS"
14,"COMPUTER SCIENCE"
14,"MATHEMATICS"
14,"VISUALIZATION"
14,"AI"
14,"DATA ANALYTICS"
14,"ALGORITHMS"
15,"ANALYSIS"
15,"MACHINE LEARNING"
15,"STATISTICS"
15,"AI"
15,"PREDICTIVE MODELS"
15,"PREDICTIVE MODELING"
16,"ANALYSIS"
16,"MACHINE LEARNING"
16,"STATISTICS"
16,"VISUALIZATION"
16,"AI"
16,"PREDICTIVE MODELING"
16,"DATA MINING"
16,"ALGORITHMS"
16,"STATISTICAL MODELING"
17,"ANALYSIS"
17,"STATISTICS"
17,"AI"
18,"ANALYSIS"
18,"MACHINE LEARNING"
18,"STATISTICS"
18,"MATHEMATICS"
18,"AI"
18,"NLP"
18,"PREDICTIVE MODELING"
18,"ALGORITHMS"
18,"UNSTRUCTURED DATA"
19,"MACHINE LEARNING"
19,"STATISTICS"
19,"MATHEMATICS"
19,"AI"
19,"NLP"
20,"ANALYSIS"
20,"STATISTICS"
20,"VISUALIZATION"
20,"AI"
20,"SOFTWARE DEVELOPMENT"
20,"DATA ENGINEERING"
20,"DATA ANALYTICS"
20,"METRICS"
20,"SYSTEMS ENGINEER"
21,"MACHINE LEARNING"
21,"STATISTICS"
21,"COMPUTER SCIENCE"
21,"MATHEMATICS"
21,"AI"
21,"DATA ENGINEERING"
21,"BIG DATA"
21,"METRICS"
21,"RISK MODELING"
22,"SOFTWARE ENGINEER"
23,"DATA WRANGLING"
23,"METRICS"
24,"ANALYSIS"
24,"COMPUTER SCIENCE"
24,"AI"
24,"ARTIFICIAL INTELLIGENCE"
25,"AI"
25,"ARTIFICIAL INTELLIGENCE"
25,"PROJECT MANAGEMENT"
26,"MACHINE LEARNING"
26,"COMPUTER SCIENCE"
26,"AI"
26,"ARTIFICIAL INTELLIGENCE"
26,"SOFTWARE DEVELOPMENT"
27,"ANALYSIS"
27,"MACHINE LEARNING"
27,"COMPUTER SCIENCE"
27,"AI"
27,"SOFTWARE DEVELOPMENT"
27,"SOFTWARE ENGINEER"
29,"MACHINE LEARNING"
29,"STATISTICS"
29,"COMPUTER SCIENCE"
29,"MATHEMATICS"
29,"VISUALIZATION"
29,"AI"
29,"DATA ANALYTICS"
29,"ALGORITHMS"
30,"MACHINE LEARNING"
30,"AI"
30,"DEEP LEARNING"
30,"PREDICTIVE MODELS"
31,"ANALYSIS"
31,"MACHINE LEARNING"
31,"STATISTICS"
31,"AI"
31,"PREDICTIVE MODELS"
31,"PREDICTIVE MODELING"
32,"ANALYSIS"
32,"MACHINE LEARNING"
32,"STATISTICS"
32,"VISUALIZATION"
32,"AI"
32,"PREDICTIVE MODELING"
32,"DATA MINING"
32,"ALGORITHMS"
32,"STATISTICAL MODELING"
33,"ANALYSIS"
33,"STATISTICS"
33,"AI"
