"id","general","personality","tech"
1,"ANALYSIS","na","na"
1,"STATISTICS","na","na"
1,"VISUALIZATION","na","na"
1,"AI","na","na"
1,"SOFTWARE DEVELOPMENT","na","na"
1,"DATA ENGINEERING","na","na"
1,"DATA ANALYTICS","na","na"
1,"METRICS","na","na"
1,"SYSTEMS ENGINEER","na","na"
2,"ANALYSIS","na","na"
2,"MACHINE LEARNING","na","na"
2,"STATISTICS","na","na"
2,"MATHEMATICS","na","na"
2,"AI","na","na"
2,"NLP","na","na"
2,"PREDICTIVE MODELING","na","na"
2,"ALGORITHMS","na","na"
2,"UNSTRUCTURED DATA","na","na"
3,"MACHINE LEARNING","na","na"
3,"STATISTICS","na","na"
3,"MATHEMATICS","na","na"
3,"AI","na","na"
3,"NLP","na","na"
4,"ANALYSIS","na","na"
4,"STATISTICS","na","na"
4,"VISUALIZATION","na","na"
4,"AI","na","na"
4,"SOFTWARE DEVELOPMENT","na","na"
4,"DATA ENGINEERING","na","na"
4,"DATA ANALYTICS","na","na"
4,"METRICS","na","na"
4,"SYSTEMS ENGINEER","na","na"
5,"MACHINE LEARNING","na","na"
5,"AI","na","na"
5,"DATA WRANGLING","na","na"
5,"METRICS","na","na"
6,"SOFTWARE ENGINEER","na","na"
7,"DATA WRANGLING","na","na"
7,"METRICS","na","na"
8,"ANALYSIS","na","na"
8,"COMPUTER SCIENCE","na","na"
8,"AI","na","na"
8,"ARTIFICIAL INTELLIGENCE","na","na"
9,"AI","na","na"
9,"ARTIFICIAL INTELLIGENCE","na","na"
9,"PROJECT MANAGEMENT","na","na"
10,"MACHINE LEARNING","na","na"
10,"COMPUTER SCIENCE","na","na"
10,"AI","na","na"
10,"ARTIFICIAL INTELLIGENCE","na","na"
10,"SOFTWARE DEVELOPMENT","na","na"
11,"ANALYSIS","na","na"
11,"MACHINE LEARNING","na","na"
11,"COMPUTER SCIENCE","na","na"
11,"AI","na","na"
11,"SOFTWARE DEVELOPMENT","na","na"
11,"SOFTWARE ENGINEER","na","na"
13,"MACHINE LEARNING","na","na"
13,"AI","na","na"
13,"DEEP LEARNING","na","na"
13,"PREDICTIVE MODELS","na","na"
14,"MACHINE LEARNING","na","na"
14,"STATISTICS","na","na"
14,"COMPUTER SCIENCE","na","na"
14,"MATHEMATICS","na","na"
14,"VISUALIZATION","na","na"
14,"AI","na","na"
14,"DATA ANALYTICS","na","na"
14,"ALGORITHMS","na","na"
15,"ANALYSIS","na","na"
15,"MACHINE LEARNING","na","na"
15,"STATISTICS","na","na"
15,"AI","na","na"
15,"PREDICTIVE MODELS","na","na"
15,"PREDICTIVE MODELING","na","na"
16,"ANALYSIS","na","na"
16,"MACHINE LEARNING","na","na"
16,"STATISTICS","na","na"
16,"VISUALIZATION","na","na"
16,"AI","na","na"
16,"PREDICTIVE MODELING","na","na"
16,"DATA MINING","na","na"
16,"ALGORITHMS","na","na"
16,"STATISTICAL MODELING","na","na"
17,"ANALYSIS","na","na"
17,"STATISTICS","na","na"
17,"AI","na","na"
18,"ANALYSIS","na","na"
18,"MACHINE LEARNING","na","na"
18,"STATISTICS","na","na"
18,"MATHEMATICS","na","na"
18,"AI","na","na"
18,"NLP","na","na"
18,"PREDICTIVE MODELING","na","na"
18,"ALGORITHMS","na","na"
18,"UNSTRUCTURED DATA","na","na"
19,"MACHINE LEARNING","na","na"
19,"STATISTICS","na","na"
19,"MATHEMATICS","na","na"
19,"AI","na","na"
19,"NLP","na","na"
20,"ANALYSIS","na","na"
20,"STATISTICS","na","na"
20,"VISUALIZATION","na","na"
20,"AI","na","na"
20,"SOFTWARE DEVELOPMENT","na","na"
20,"DATA ENGINEERING","na","na"
20,"DATA ANALYTICS","na","na"
20,"METRICS","na","na"
20,"SYSTEMS ENGINEER","na","na"
21,"MACHINE LEARNING","na","na"
21,"STATISTICS","na","na"
21,"COMPUTER SCIENCE","na","na"
21,"MATHEMATICS","na","na"
21,"AI","na","na"
21,"DATA ENGINEERING","na","na"
21,"BIG DATA","na","na"
21,"METRICS","na","na"
21,"RISK MODELING","na","na"
22,"SOFTWARE ENGINEER","na","na"
23,"DATA WRANGLING","na","na"
23,"METRICS","na","na"
24,"ANALYSIS","na","na"
24,"COMPUTER SCIENCE","na","na"
24,"AI","na","na"
24,"ARTIFICIAL INTELLIGENCE","na","na"
25,"AI","na","na"
25,"ARTIFICIAL INTELLIGENCE","na","na"
25,"PROJECT MANAGEMENT","na","na"
26,"MACHINE LEARNING","na","na"
26,"COMPUTER SCIENCE","na","na"
26,"AI","na","na"
26,"ARTIFICIAL INTELLIGENCE","na","na"
26,"SOFTWARE DEVELOPMENT","na","na"
27,"ANALYSIS","na","na"
27,"MACHINE LEARNING","na","na"
27,"COMPUTER SCIENCE","na","na"
27,"AI","na","na"
27,"SOFTWARE DEVELOPMENT","na","na"
27,"SOFTWARE ENGINEER","na","na"
29,"MACHINE LEARNING","na","na"
29,"STATISTICS","na","na"
29,"COMPUTER SCIENCE","na","na"
29,"MATHEMATICS","na","na"
29,"VISUALIZATION","na","na"
29,"AI","na","na"
29,"DATA ANALYTICS","na","na"
29,"ALGORITHMS","na","na"
30,"MACHINE LEARNING","na","na"
30,"AI","na","na"
30,"DEEP LEARNING","na","na"
30,"PREDICTIVE MODELS","na","na"
31,"ANALYSIS","na","na"
31,"MACHINE LEARNING","na","na"
31,"STATISTICS","na","na"
31,"AI","na","na"
31,"PREDICTIVE MODELS","na","na"
31,"PREDICTIVE MODELING","na","na"
32,"ANALYSIS","na","na"
32,"MACHINE LEARNING","na","na"
32,"STATISTICS","na","na"
32,"VISUALIZATION","na","na"
32,"AI","na","na"
32,"PREDICTIVE MODELING","na","na"
32,"DATA MINING","na","na"
32,"ALGORITHMS","na","na"
32,"STATISTICAL MODELING","na","na"
33,"ANALYSIS","na","na"
33,"STATISTICS","na","na"
33,"AI","na","na"
34,"ANALYSIS","na","na"
34,"MACHINE LEARNING","na","na"
34,"STATISTICS","na","na"
34,"MATHEMATICS","na","na"
34,"AI","na","na"
34,"NLP","na","na"
34,"PREDICTIVE MODELING","na","na"
34,"ALGORITHMS","na","na"
34,"UNSTRUCTURED DATA","na","na"
35,"MACHINE LEARNING","na","na"
35,"STATISTICS","na","na"
35,"MATHEMATICS","na","na"
35,"AI","na","na"
35,"NLP","na","na"
36,"ANALYSIS","na","na"
36,"STATISTICS","na","na"
36,"VISUALIZATION","na","na"
36,"AI","na","na"
36,"SOFTWARE DEVELOPMENT","na","na"
36,"DATA ENGINEERING","na","na"
36,"DATA ANALYTICS","na","na"
36,"METRICS","na","na"
36,"SYSTEMS ENGINEER","na","na"
37,"MACHINE LEARNING","na","na"
37,"STATISTICS","na","na"
37,"COMPUTER SCIENCE","na","na"
37,"MATHEMATICS","na","na"
37,"AI","na","na"
37,"DATA ENGINEERING","na","na"
37,"BIG DATA","na","na"
37,"METRICS","na","na"
37,"RISK MODELING","na","na"
38,"SOFTWARE ENGINEER","na","na"
39,"DATA WRANGLING","na","na"
39,"METRICS","na","na"
40,"ANALYSIS","na","na"
40,"COMPUTER SCIENCE","na","na"
40,"AI","na","na"
40,"ARTIFICIAL INTELLIGENCE","na","na"
41,"AI","na","na"
41,"ARTIFICIAL INTELLIGENCE","na","na"
41,"PROJECT MANAGEMENT","na","na"
42,"MACHINE LEARNING","na","na"
42,"COMPUTER SCIENCE","na","na"
42,"AI","na","na"
42,"ARTIFICIAL INTELLIGENCE","na","na"
42,"SOFTWARE DEVELOPMENT","na","na"
43,"ANALYSIS","na","na"
43,"MACHINE LEARNING","na","na"
43,"COMPUTER SCIENCE","na","na"
43,"AI","na","na"
43,"SOFTWARE DEVELOPMENT","na","na"
43,"SOFTWARE ENGINEER","na","na"
45,"MACHINE LEARNING","na","na"
45,"STATISTICS","na","na"
45,"COMPUTER SCIENCE","na","na"
45,"MATHEMATICS","na","na"
45,"VISUALIZATION","na","na"
45,"AI","na","na"
45,"DATA ANALYTICS","na","na"
45,"ALGORITHMS","na","na"
46,"MACHINE LEARNING","na","na"
46,"AI","na","na"
46,"DEEP LEARNING","na","na"
46,"PREDICTIVE MODELS","na","na"
47,"ANALYSIS","na","na"
47,"MACHINE LEARNING","na","na"
47,"STATISTICS","na","na"
47,"AI","na","na"
47,"PREDICTIVE MODELS","na","na"
47,"PREDICTIVE MODELING","na","na"
